No,Teks,Sentimen,Confidence
550,"Grand Mosque of Aceh",Netral,98.03%
551,"Super",Netral,38.96%
552,"Nice place and friendly peoples",Positif,99.99%
553,"Great mosque of Acehnese ... May Allah Bless for it.",Positif,99.99%
554,"It’s magical place and make calm.",Positif,99.96%
555,"Alhamdulillah..this is the place were Tsunami wont do no harm",Positif,99.98%
556,"Good palace",Positif,99.05%
557,"Comfortable place to pray and easy parking area",Positif,99.76%
558,"Very nice historical herritage of Mosque in Aceh",Netral,99.90%
559,"So beautiful place",Positif,99.96%
560,"Safaira Collection",Positif,63.59%
561,"Very very beautiful",Positif,99.95%
562,"Best moment with Best Frend",Positif,99.80%
563,"peace ✌️",Positif,99.54%
564,"The Beautiful Mosque, in the night it's more beatiful",Netral,84.83%
565,"Because this place can make me have good feeling",Positif,99.97%
566,"the world's most beautiful mosque",Positif,85.17%
567,"great mosque",Positif,99.95%
568,"Great place to visit, a mosque with thousands of history",Positif,84.72%
569,"Let's pray",Positif,99.92%
570,"This is the grand mosque of the country, what else i can say? Go there and pray!",Positif,94.43%
571,"Worth for traveller to visit. Worship place for Muslim",Positif,98.68%
572,"One of the most beautiful mosque in Indonesia",Positif,99.86%
573,"Beautiful",Positif,99.76%
574,"The grand mosque for those who want to feel Little Madinah",Positif,99.97%
575,"Good",Positif,97.62%
576,"Heavenly",Positif,99.96%
577,"Beautiful & peaceful masjid with unique architecture",Positif,99.97%
578,"Amazing",Positif,99.95%
579,"Very nice mosque and important Muslim place",Positif,99.89%
580,"This place has an amazing view and has survived a tsunami that devastated the whole city",Positif,99.57%
581,"Everybody must praying here... older mosque in Aceh province",Netral,77.95%
582,"The greatet place to connect to the God..to united two lover together",Positif,99.99%
583,"The one and only best place in the banda aceh city",Positif,99.91%
584,"Gorgeous imposing mosque that survived the 2004 tsunami tragedy",Negatif,99.87%
585,"The best",Positif,99.96%
586,"One of beautiful mosque in Asia or perhaps in the world.",Netral,99.90%
587,"My mom",Netral,95.86%
588,"Good place for pray ( moeslim only )",Positif,99.90%
589,"The first shubuh",Netral,99.84%
590,"Beautiful mosque",Positif,96.37%
591,"i'm very happy mesjid very beutfl and good",Positif,99.98%
592,"At last, I visited to historic place. Thank you God",Positif,96.77%
593,"Amazing, great",Positif,99.98%
594,"🤲🏻🤩",Netral,74.44%
595,"Awesome!",Positif,99.96%
596,"Nice building and historical mosque in Banda Aceh",Positif,57.99%
597,"Its really calming to be here! One of my fav place in here",Positif,99.98%
598,"Beautiful mosque",Positif,96.37%
599,"Great place to relax, very spiritual space.",Positif,99.99%
600,"Great mosque. Convenient place for praying.",Positif,99.98%
601,"Beautiful like Nabawi Mosque in Medinah",Positif,99.74%
602,"Best place in medan... And one of magical place in aceh!!!",Positif,99.82%
603,"Awesome place",Positif,99.96%
604,"Wonderful mosque",Positif,99.84%
605,"Very nice suitable for religious tour",Positif,99.98%
606,"Wonderfull, clean and Made heart peaceful",Positif,99.98%
607,"Adem",Netral,91.01%
608,"Enjoying the sunrise religious sermon on Islamic economics....",Netral,91.77%
609,"My favourite place",Positif,90.74%
610,"Beautiful architecture",Positif,99.89%
611,"Amazing",Positif,99.95%
612,"Beautiful place",Positif,99.95%
613,"Nice mosque",Positif,99.96%
614,"Good",Positif,97.62%
615,"Very beautiful",Positif,99.94%
616,"One of the Best grand mosque in the world",Positif,99.97%
617,"Very peacefull and historical mosque",Positif,99.62%
618,"Pray in here. Wanna go back if I visit Aceh again",Netral,98.00%
619,"Peaceful place",Positif,99.98%
620,"A historical mosque and one of the must visit place in Aceh.",Netral,99.93%
621,"Very nice mosque and good place",Positif,99.97%
622,"Awesome, Grand of Banda Aceh Mosque 😇",Positif,86.86%
623,"Amazing",Positif,99.95%
624,"Incridible Place with Religious Athmosphere",Netral,88.54%
625,"Peacefully place to pray and chill your heart and head",Positif,99.98%
626,"Most beautiful and iconic masjid",Positif,99.92%
627,"Very advance. Clean & beautiful.",Positif,99.87%
628,"Just like madinah",Netral,95.28%
629,"The Best Mosque Aceh",Positif,99.95%
630,"Great design, great location, love it so much",Positif,99.99%
631,"Wonderful!!",Positif,99.89%
632,"Was a good tourism place and mosque",Positif,99.98%
633,"Beautiful, clean, and nice place to spend time",Positif,99.98%
634,"It's not just a mosque...it's heritage",Positif,98.19%
635,"I do love this mosque, Mashaallah",Positif,99.93%
636,"Love it! Subhanallah",Positif,99.98%
637,"So amazing mosque design and gardening..",Positif,99.99%
638,"Most of beautiful mosque in sumatra Aceh",Netral,99.88%
639,"Confortable place for praying clean and holy",Positif,99.94%
640,"Beautiful grand mosque in prominent location",Positif,99.81%
641,"Best mosque",Positif,99.82%
642,"Niceee",Positif,99.98%
643,"The most beautiful Mosque in Indonesia",Positif,99.86%
644,"The most beutifull mosque in asian",Netral,52.76%
645,"Landmark of Banda Aceh City. A Must visit place",Positif,98.22%
646,"the most exiting placed to shalat and visit",Netral,97.58%
647,"Very beautiful place so calm",Positif,99.98%
648,"Great mosque",Positif,99.95%
649,"Beautifull and glamor",Netral,97.53%
650,"One of the most beautiful mosque in the world.",Positif,99.89%
651,"Great and amazing mosque i love ..",Positif,99.98%
652,"A lot of stinky feet and women are disrespected",Negatif,99.95%
653,"Top",Positif,99.96%
654,"A must place to visit in banda aceh city",Positif,99.95%
655,"The most beautiful and historic place in Aceh",Positif,95.18%
656,"Good place for praying n tourism",Positif,99.97%
657,"Remind us about tsunamy.. The mosque was saved.",Netral,99.94%
658,"Charming",Positif,59.03%
659,"Always.... Goods",Netral,69.52%
660,"Historical masjid with good management",Positif,99.62%
661,"Mumtaz",Netral,80.41%
662,"View mosque that can save from Aceh tsunami 2004",Netral,99.89%
663,"This masjid now has greater features",Positif,99.82%
664,"Should visit this mosque if you are in Acheh ..",Netral,99.96%
665,"great mosque",Positif,99.95%
666,"Wonderful place... my home town",Positif,99.98%
667,"Amazing",Positif,99.95%
668,"Beautiful",Positif,99.76%
669,"The best place i ever visit in my life",Positif,99.87%
670,"Its lovely and historical place of aceh",Positif,98.56%
671,"refresh my day here, wo peacefull",Positif,99.98%
672,"great place",Positif,99.97%
673,"This mosque represent the history of Acehness",Netral,99.87%
674,"Landmark of banda aceh, must visit!",Positif,99.93%
675,"what a religious and historical place, superb",Netral,95.15%
676,"Excellent!!! The onlys words I can discribe.",Positif,99.92%
677,"Amazing",Positif,99.95%
678,"more cleaning team would be best.....",Positif,99.97%
679,"Its the best place for family and tour.",Positif,99.94%
680,"the most epic mosque in Aceh, Indonesia",Netral,94.76%
681,"Abolution area the drainage system not good",Negatif,99.96%
682,"The must visit grand mosque in Banda Aceh 🕌👍",Netral,99.86%
683,"Beauty of perfection",Positif,91.11%
684,"Greatest view",Positif,99.94%
685,"Amazing",Positif,99.95%
686,"👍🏻👍🏻👍🏻👍🏻",Netral,74.44%
687,"Its so amazing mosque😍",Positif,99.97%
688,"one of the beautiful mesjid in aceh",Positif,99.93%
689,"Spacious mosque with beautiful design 👍",Netral,69.48%
690,"Very good place to visit",Positif,99.98%
691,"The best mosque in the world!!😇😇",Positif,99.98%
692,"One of a great mosque in Indonesia.",Positif,99.98%
693,"Beautiful Landmark",Positif,89.09%
694,"nice",Positif,99.92%
695,"love this place so much ❤❤❤👍",Positif,99.94%
696,"Historical yet must visit place while in Aceh",Netral,99.86%
697,"Awesome",Positif,99.95%
698,"The best",Positif,99.96%
699,"Lovely",Netral,63.12%
700,"One of the good place for family destination",Positif,99.98%
701,"Amazing place, increasing our spiritual,",Positif,99.98%
702,"👍👍👍",Netral,74.44%
703,"Great place great mosque in Banda Aceh",Netral,66.40%
704,"So healing",Netral,81.87%
705,"Grand mosque baiturrahman... It's an old mosque..",Netral,99.97%
706,"Awesome mosque.. SubhanAllah",Positif,99.97%
707,"Ancient, cool n beautiful design..",Positif,98.57%
708,"Beautiful ❤️❤️❤️",Positif,97.53%
709,"Good",Positif,97.62%
710,"One of the best mosque in Indonesia",Positif,99.98%
711,"Beautiful place",Positif,99.95%
712,"It's beautiful mosque, as always.",Positif,99.97%
713,"Full love for this grand mosque",Positif,99.95%
714,"👍",Netral,74.44%
715,"Must visited landmark Absolutely cool",Positif,99.92%
716,"The greatest mosque of aceh people",Positif,96.56%
717,"Big mosque, proud by people of aceh",Positif,97.60%
718,"I love this mousque, it's so beautiful",Positif,99.97%
719,"Such a peaceful place to pray",Positif,99.98%
720,"very Comfortable and peaceful to be in this place",Positif,99.98%
721,"Great , artistic , clean , and peaceful",Positif,99.95%
722,"this place is really comfortable for pray.",Positif,99.94%
723,"Never get bored visiting this mosque",Netral,56.10%
724,"Wonderful and Beautiful Mosque.",Positif,97.73%
725,"You should come to Banda Aceh Visit this mosque",Netral,74.72%
726,"Clean, good establish and save areas",Positif,99.96%
727,"Iconic Mosque In Banda Aceh",Netral,99.92%
728,"Amazing placed",Positif,99.97%
729,"World best place is mosque",Positif,99.70%
730,"Banda Aceh's favorite mosque",Netral,98.28%
731,"One of the beautiful mosque in the world",Positif,99.94%
732,"Historical Mosque w lots of stories....",Netral,99.89%
733,"Amazing place",Positif,99.97%
734,"Amazing place",Positif,99.97%
735,"Love this mosque so much",Positif,99.98%
736,"Ok",Netral,98.15%
737,"Its most beautiful mosque",Positif,99.86%
738,"One of beautifull mosque in Indonesia",Positif,99.80%
739,"love aceh",Positif,99.95%
740,"Good place to hangout especially in the evening.",Positif,99.97%
741,"The best mosque in Aceh Province",Positif,70.37%
742,"One of The holiest place in Aceh (Islamic ways) 😁",Netral,99.73%
743,"Nice place with new design,facility",Positif,99.98%
744,"Lovely and historical mosque..",Netral,99.97%
745,"Amazing and im feeling peace to be here",Positif,99.99%
746,"When pilgrimage is too expensive here is an alternative...",Netral,99.77%
747,"Amazing",Positif,99.95%
748,"Greatest mosque in my heart",Positif,99.96%
749,"Did this mosque survive the tsunami??? Wow.",Netral,74.42%
750,"Perfect design",Positif,99.72%
751,"Its so very beautiful and very good..",Positif,99.99%
752,"The most beautiful mosque😇🕌",Positif,89.36%
753,"I'm love",Positif,99.94%
754,"This is the worderfull place i've ever seen..",Netral,72.24%
755,"Perfect and historical places",Netral,91.21%
756,"Love the atmosphere and design of this Mosque.",Positif,99.93%
757,"The Best Masjid in South East Asia",Positif,99.97%
758,"Good places to pray and recreation",Positif,99.98%
759,"Beutiful the heritage mosque",Positif,99.97%
760,"great place. love the breeze",Positif,99.92%
761,"Must visit! Icon Banda Aceh",Positif,99.94%
762,"Great historical masjid!!!",Positif,99.94%
763,"Great Islamic heritage in Banda Aceh",Positif,99.89%
764,"Great Mosque with amazing design.",Positif,99.99%
765,"Historycal of Mosque",Netral,99.80%
766,"The good place before makkah",Positif,99.79%
767,"Very comfortable place on the night",Positif,99.95%
768,"The best mosque in atjeh",Positif,99.67%
769,"Great mosque, beautiful building",Positif,99.97%
770,"Beautiful ❤️",Positif,97.53%
771,"Baiturrahman Grand Mosque has new design",Positif,76.57%
772,"Awsome and historical place",Netral,99.73%
773,"Great for pray and takes photo",Positif,99.97%
774,"Best mosque",Positif,99.82%
775,"Amazing... ikon Banda Aceh",Positif,99.99%
776,"Most Beautiful Place In Banda Aceh",Positif,99.84%
777,"Historical yet religious place to see",Netral,99.87%
778,"historic mosque",Netral,99.58%
779,"Such a beatiful mosque...",Netral,95.53%
780,"Loved the domes",Positif,91.40%
781,"Great and historic mosque",Netral,93.05%
782,"Beautiful and clean mosque",Positif,99.08%
783,"full activity of ramadhan mubaarak",Netral,99.74%
784,"Really nice masjid",Positif,99.99%
785,"The best mosque ever",Positif,99.85%
786,"Love aceh",Positif,99.95%
787,"Historycal grand mosque in atjeh",Netral,99.97%
788,"A must visit place. Undescribable feeling.",Negatif,99.78%
789,"Beautiful and historical mosque",Netral,94.69%
790,"It is really greats place for prayer...",Positif,99.98%
791,"The number one mosque in aceh",Positif,90.12%
792,"The most iconic place in Aceh.",Positif,98.88%
793,"nice place",Positif,99.97%
794,"Very beautiful mosque!",Positif,99.95%
795,"Beautiful mosgue, in Banda aceh",Netral,98.07%
796,"alhamdulillah sunrise d mosque",Positif,96.25%
797,"Good place for kids to play",Positif,99.98%
798,"Beautiful mosque in Asia, from Aceh",Positif,83.64%
799,"The beautiful & elegand mosque",Positif,98.06%
800,"I always love this mosque",Positif,99.98%
801,"A beautiful place to visit",Positif,99.98%
802,"Holly place & full of history",Netral,99.79%
803,"Super cool clean place to be.",Positif,99.97%
804,"👍",Netral,74.44%
805,"19 years after the Tsunami.",Netral,99.81%
806,"Wonderful place",Positif,99.96%
807,"I like this mosque very much",Positif,99.97%
808,"Must visit 5 times a day",Netral,99.73%
809,"Good place for spiritual experience",Positif,99.98%
810,"The best place to close with good",Positif,99.97%
811,"Nice Mosq",Positif,99.90%
812,"Love bgt",Positif,99.91%
813,"Bereh2 that",Negatif,99.75%
814,"Very good architecture and clean",Positif,99.94%
815,"The best place in Banda Aceh",Positif,99.84%
816,"A beautiful place to visit.",Positif,99.98%
817,"Beautiful mosque.",Netral,71.23%
818,"Acehnese proud and full of histories",Netral,99.78%
819,"Great superb",Positif,99.97%
820,"Great mosque with great history",Positif,85.37%
821,"A really good mosque",Positif,99.96%
822,"Most of the beautiful place in Banda Aceh",Positif,80.98%
823,"Beautifull and Peacefull place",Positif,99.96%
824,"Very nice",Positif,99.97%
825,"Good and clean mosque",Positif,99.58%
826,"The place make you peace",Positif,99.97%
827,"Most iconic building in Banda Aceh",Netral,79.70%
828,"Great place",Positif,99.97%
829,"comfortable place to pray",Positif,99.07%
830,"Historical Mosque in Aceh and Aceh Province Icon",Netral,99.97%
831,"One of biggest mosque in the world",Positif,84.23%
832,"The Great building of moslem in Aceh",Positif,70.07%
833,"There is a beautiful mosque",Positif,98.84%
834,"The icon of Aceh",Positif,99.23%
835,"Best place ever",Positif,99.87%
836,"The Pride of Acehnese",Netral,75.51%
837,"Beautiful architecture, physically strong.",Positif,99.92%
838,"Greatest mosque in aceh",Positif,99.48%
839,"Iam happy",Positif,99.94%
840,"Nice place",Positif,99.97%
841,"The Great Mosque in Banda Aceh",Positif,98.16%
842,"Religion",Netral,99.80%
843,"Very best Grand Mosque",Positif,99.95%
844,"Nice ok",Positif,99.96%
845,"Very Peacefull Masjid",Positif,99.98%
846,"Amazing, very beautiful 😍",Positif,99.93%
847,"It's so calm to be here.",Positif,99.97%
848,"Beautiful place",Positif,99.95%
849,"Wonderful and blessed so beautiful",Positif,99.97%
850,"So cool",Positif,99.85%
851,"It's a wonderful Mosque",Positif,99.96%
852,"Very good",Positif,99.97%
853,"Awesome, so beautiful.",Positif,99.95%
854,"A very beautiful mosque",Positif,99.89%
855,"Great mosque in meulaboh",Positif,99.94%
856,"Nice place for spiritual experience",Positif,99.98%
857,"All off business here!",Netral,97.79%
858,"A must place to visit when travel to Aceh.",Positif,74.45%
859,"The beautiful mosque",Positif,98.57%
860,"Feels like in medina",Positif,82.80%
861,"Beautiful_Mosque",Positif,96.67%
862,"One of the place you have to visit in Aceh",Netral,99.18%
863,"Feels like we are at Nabawi Mosque",Positif,86.23%
864,"Must have visit place in Banda Aceh",Positif,99.19%
865,"You must see a proof miracle.",Netral,99.91%
866,"The beautiful mosque in the world",Positif,99.81%
867,"Clean and beautiful mosque",Positif,98.06%
868,"Very Good",Positif,99.97%
869,"Nice good",Positif,99.94%
870,"Good job",Positif,99.97%
871,"Must visit if u are in Banda Aceh",Positif,99.63%
872,"It's beautiful and calming",Positif,99.89%
873,"The great mosque of Aceh people",Positif,74.86%
874,"Comfortable place to pray",Positif,99.07%
875,"Very Good",Positif,99.97%
876,"Very good",Positif,99.97%
877,"Very good",Positif,99.97%
878,"H.v'.0",Netral,99.69%
879,"The intersting mosque in Banda Aceh",Netral,99.98%
880,"Very comfortable places",Positif,99.96%
881,"the best mosque in Indonesia",Positif,99.97%
882,"Beautiful home allah",Positif,99.93%
883,"All The best",Positif,99.97%
884,"A must visit place in Banda Aceh",Positif,99.92%
885,"Very good and nice place.",Positif,99.98%
886,"Very good",Positif,99.97%
887,"Best place ever and always",Positif,99.90%
888,"Good view, friendly person",Positif,99.87%
889,"The most beutiful area...",Positif,99.86%
890,"Amazing, wonderful, so love",Positif,99.96%
891,"Nice 👍👍",Positif,99.62%
892,"The Great mosque in aceh",Positif,99.41%
893,"Awesome grand mosque",Positif,99.42%
894,"The Holy Great Mosque",Netral,70.04%
895,"beautiful n comfort",Positif,99.94%
896,"Nice place",Positif,99.97%
897,"The best",Positif,99.96%
898,"Spectacular, calming",Netral,99.96%
899,"Good place",Positif,99.95%
900,"My soulmate was born here",Netral,99.24%
901,"Amazing place",Positif,99.97%
902,"The best mosque in Aceh",Positif,99.40%
903,"One of The Most Destination to Visit Aceh",Positif,98.02%
904,"Adem",Netral,91.01%
905,"The most awesome place in Aceh",Positif,99.86%
906,"Much better than before",Positif,98.55%
907,"Very good",Positif,99.97%
908,"Beautifull mosque in Aceh",Netral,91.53%
909,"Nice n beautiful place",Positif,99.98%
910,"Super clean and comfortable",Positif,99.70%
911,"The Most Beautiful Mosque",Positif,99.00%
912,"feeling so calm when i was here",Positif,99.63%
913,"A must see if you are in Aceh.",Netral,90.95%
914,"Best acheh must visit",Positif,97.47%
915,"Jah live",Netral,98.57%
916,"I love this amazing Mosque",Positif,99.98%
917,"Good View",Positif,99.59%
918,"The best of Banda Aceh place.",Positif,99.96%
919,"Ok",Netral,98.15%
920,"Ok get",Positif,78.45%
921,"The most incredible place in aceh",Positif,99.74%
922,"good place",Positif,99.95%
923,"So sweet",Positif,99.42%
924,"Love Aceh",Positif,99.95%
925,"Very exicited",Positif,99.94%
926,"Great masjid, wonderful",Positif,99.98%
927,"A great place for moslem",Positif,99.97%
928,"Nice mosque! 🙏🏻",Positif,99.90%
929,"What a wonderful mosque ❤️",Positif,98.61%
930,"Ok",Netral,98.15%
931,"Very good place to visit",Positif,99.98%
932,"Biggest mosque in Aceh",Netral,99.65%
933,"I'm looking for next tine visit",Netral,99.93%
934,"Peaceful place to shalat",Positif,99.93%
935,"MasyaAllah Love this place",Negatif,95.42%
936,"love this place",Positif,99.95%
937,"Historis and memorable place",Positif,53.95%
938,"Most peaceful place",Positif,99.94%
939,"pray and religius history mosque",Netral,99.98%
940,"Beautifull mosque",Positif,52.02%
941,"Spiritual place",Netral,85.86%
942,"The best",Positif,99.96%
943,"From 0 km",Netral,99.85%
944,"Exelents and spiritually place 😇",Netral,99.56%
945,"The best",Positif,99.96%
946,"Re upgrade your iman",Positif,99.85%
947,"lovely place in Banda Aceh",Positif,97.35%
948,"Super Wonderful Mosque",Positif,99.80%
949,"The architecture of the main mosque",Netral,99.88%
950,"The best",Positif,99.96%
951,"Feels like in Nabawi Mosque",Positif,96.38%
952,"Best halal place",Positif,99.95%
953,"Very Great Mosque",Positif,99.98%
954,"Feels like Nabawi Mosque",Positif,66.30%
955,"Very historical mosque",Netral,85.35%
956,"Legendary mosque in town.",Netral,99.88%
957,"Holy place for moslems",Netral,89.89%
958,"Very clean and majestic",Positif,99.62%
959,"Beautiful, and the facilities are good",Positif,99.97%
960,"Love the ambience inside.",Netral,66.54%
961,"İ love it",Positif,99.98%
962,"Great and history place",Netral,99.17%
963,"Ok",Netral,98.15%
964,"1 q",Netral,99.36%
965,"Still miss the old one 😢",Negatif,98.90%
966,"It's so beautiful",Positif,99.97%
967,"Ok",Netral,98.15%
968,"The best mosque",Positif,99.93%
969,"I love it so much...",Positif,99.98%
970,"Great mosque in Aceh",Positif,99.79%
971,"The best",Positif,99.96%
972,"the most beautiful place in Aceh, Aceh",Positif,99.96%
973,"Wonderful mosque",Positif,99.84%
974,"Great Mosque in Banda Aceh",Positif,99.83%
975,"Love it so much",Positif,99.98%
976,"The place i love the most",Positif,99.77%
977,"Very vwry good",Positif,99.97%
978,"Beautiful mosque",Positif,96.37%
979,"Center of religious and social activities",Netral,98.57%
980,"That place is so wonderful",Positif,99.96%
981,"Amazing 😍",Positif,99.90%
982,"Amazing instratucture and building",Positif,99.97%
983,"Beautiful mosque",Positif,96.37%
984,"Nice and comfortable feeling.",Positif,97.95%
985,"Wooww very very beautiful",Positif,99.98%
986,"Beautiful mosque😊",Positif,97.53%
987,"Its so beuty broe",Negatif,99.97%
988,"Memorable place..",Positif,99.05%
989,"I love it",Positif,99.98%
990,"Iconic building in Banda Aceh",Netral,99.88%
991,"Good place for praying",Positif,99.97%
992,"The best",Positif,99.96%
993,"I love it",Positif,99.98%
994,"Amazing place with amazing history",Positif,99.94%
995,"My Mosque #letsguide",Netral,99.94%
996,"That was a very good place",Positif,99.99%
997,"refill your iman here",Positif,79.94%
998,"Always stunning",Negatif,99.97%
999,"Iconic masjid in Aceh",Netral,92.40%
1000,"The Best",Positif,99.96%
1001,"Georgeous",Netral,77.04%
1002,"The best",Positif,99.96%
1003,"Photo lab",Netral,99.94%
1004,"The great",Positif,99.89%
1005,"The Best",Positif,99.96%
1006,"Bereeehhh",Netral,80.71%
1007,"I love",Positif,99.96%
1008,"The best",Positif,99.96%
1009,"Great mosque at Aceh",Positif,99.79%
1010,"Wonderful mosque",Positif,99.84%
1011,"The Great Mosque of Aceh",Positif,76.02%
1012,"I love it",Positif,99.98%
1013,"Looking religous... Best...",Positif,99.92%
1014,"Magnificient mosque...",Netral,98.50%
1015,"A nice place to pray",Positif,99.97%
1016,"Wonderful mosque...",Positif,99.30%
1017,"Wonderful mosque",Positif,99.84%
1018,"Peace place",Positif,99.73%
1019,"I am now closer to God 😊😊😊😊",Negatif,99.96%
1020,"Beutifull grand mousqo",Positif,56.86%
1021,"very peace full",Positif,99.94%
1022,"Nicee",Positif,99.84%
1023,"I love this mosque",Positif,99.98%
1024,"beatiful mosque..",Netral,99.94%
1025,"Perfect 👍",Positif,91.36%
1026,"The great mosque of Aceh",Positif,76.02%
1027,"Best❤",Netral,74.44%
1028,"Smooth cool and great",Positif,99.40%
1029,"Amazing mosque",Positif,99.96%
1030,"I love it",Positif,99.98%
1031,"Full of religious destination",Netral,96.26%
1032,"Best moment ever",Positif,99.39%
1033,"Best islamic destination",Positif,99.97%
1034,"I love",Positif,99.96%
1035,"Great ..",Positif,99.98%
1036,"Is beutiful musque",Netral,94.50%
1037,"Best place for praying",Positif,99.98%
1038,"Great...",Positif,99.99%
1039,"Love it destination aceh",Positif,99.97%
1040,"Beautiful mosque",Positif,96.37%
1041,"The first place u must visit",Positif,98.97%
1042,"The best",Positif,99.96%
1043,"The best masjid...",Positif,99.98%
1044,"Very picturesque.",Netral,81.60%
1045,"Amazing mosque",Positif,99.96%
1046,"Beautiful Mosque",Positif,96.37%
1047,"The beautiful mosque",Positif,98.57%
1048,"Ok",Netral,98.15%
1049,"Beautiful mosque",Positif,96.37%
1050,"Favourite place forever",Netral,50.22%
1051,"Great place to visit",Positif,99.99%
1052,"Beautiful mosque😍😍",Positif,97.53%
1053,"No word. Exceptional",Positif,54.83%
1054,"A historic place",Netral,99.34%
1055,"Great mosque..",Positif,99.84%
1056,"The bEst Mosque in Aceh",Positif,99.40%
1057,"peacefull mosque",Positif,99.39%
1058,"This place makes our head clear",Positif,99.95%
1059,"Best place to pray",Positif,99.92%
1060,"Amazing",Positif,99.95%
1061,"Beautiful mosque",Positif,96.37%
1062,"Beautiful mosque",Positif,96.37%
1063,"Feel like medina",Negatif,75.72%
1064,"I like this house of Allah",Positif,99.98%
1065,"Gorgeous!",Negatif,97.59%
1066,"Iconic place in aceh",Netral,99.75%
1067,"Beatiful",Netral,96.64%
1068,"Great!",Positif,99.98%
1069,"Historical place for pray",Netral,99.40%
1070,"Beautifull place in the world",Positif,99.93%
1071,"A real grand mosque",Positif,99.87%
1072,"Good place for pray",Positif,99.94%
1073,"The best place in aceh",Positif,99.84%
1074,"The beautiful place in the world",Positif,99.98%
1075,"best place to pray,",Positif,99.90%
1076,"Ishak00",Netral,90.21%
1077,"Beautiful mosque",Positif,96.37%
1078,"Nice...",Positif,99.98%
1079,"Beautiful mosque",Positif,96.37%
1080,"Beautiful Mosque",Positif,96.37%
1081,"Nice place to remember",Positif,99.89%
1082,"The greatest mosque",Positif,94.52%
1083,"everyone is a turism ambassador",Positif,98.88%
1084,"123 wash and coffee",Netral,99.80%
1085,"Good Place for Pray",Positif,99.94%
1086,"Always Perfect place",Positif,99.11%
1087,"Majestic. Must visit",Positif,95.69%
1088,"Amazing mosque",Positif,99.96%
1089,"Ok",Netral,98.15%
1090,"the best place in town",Positif,99.91%
1091,"I like",Positif,98.50%
1092,"Loved it",Positif,99.96%
1093,"Beautiful mosque",Positif,96.37%
1094,"Nice mosque",Positif,99.96%
1095,"Amazing mosque",Positif,99.96%
1096,"Magnificent mosque",Netral,71.79%
1097,"Nothing's compared",Netral,99.84%
1098,"Nice mosque",Positif,99.96%
1099,"Gassss",Positif,99.83%
1100,"Amazing Mosque",Positif,99.96%
1101,"the best",Positif,99.96%
1102,"Beautiful mosque",Positif,96.37%
1103,"Wonderful mosque",Positif,99.84%
1104,"Beautiful but pain",Netral,96.47%
1105,"Someday will revisit",Netral,95.66%
1106,"Ok",Netral,98.15%
1107,"Beatiful",Netral,96.64%
1108,"The most wonderful place",Positif,99.87%
1109,"Iconic",Netral,94.46%
1110,"Ok",Netral,98.15%
1111,"Beautiful mosque",Positif,96.37%
1112,"Love it",Positif,99.97%
1113,"Great mosque",Positif,99.95%
1114,"Nice mosque",Positif,99.96%
1115,"So interest for praying",Positif,99.90%
1116,"Beautiful mosque",Positif,96.37%
1117,"It is a grand masjid",Netral,53.52%
1118,"Grand big mosque",Positif,82.73%
1119,"Nice mosque",Positif,99.96%
1120,"Great!",Positif,99.98%
1121,"The great mosque @ Aceh",Netral,99.46%
1122,"exelent",Netral,98.79%
1123,"Have zuhur here",Netral,99.88%
1124,"the best",Positif,99.96%
1125,"Ok",Netral,98.15%
1126,"Subhanallah, great place",Positif,99.99%
1127,"The best mosque",Positif,99.93%
1128,"Great mosque.",Positif,99.96%
1129,"Cool!",Positif,99.94%
1130,"The Biggest Mosque on Aceh",Netral,99.86%
1131,"Historical Masjid",Netral,99.90%
1132,"I love this place",Positif,99.98%
1133,"Awesome mosque",Positif,98.18%
1134,"Lovely Mosque 👍👍👍",Netral,97.03%
1135,"Beautiful mosque",Positif,96.37%
1136,"Nice mosques",Positif,99.87%
1137,"A must place to visit in Aceh",Positif,99.97%
1138,"Best👍👍👍",Netral,74.44%
1139,"Exellent",Netral,99.37%
1140,"Love it",Positif,99.97%
1141,"So beautiful place.",Positif,99.57%
1142,"Ok",Netral,98.15%
1143,"love it",Positif,99.97%
1144,"Great Mosque in Aceh",Positif,99.79%
1145,"Greatest Masjid in Aceh",Positif,99.96%
1146,"Peace full place 😘",Positif,99.61%
1147,"Thanks Map Google",Positif,99.96%
1148,"Very Good Place",Positif,99.98%
1149,"Love it",Positif,99.97%
1150,"Ok",Netral,98.15%
1151,"Nice mosque",Positif,99.96%
1152,"Ademmmmmm",Netral,76.72%
1153,"Kerren",Netral,91.81%
1154,"It is so peaceful",Positif,99.98%
1155,"great...iloveaceh",Positif,99.99%
1156,"Excellent",Positif,99.94%
1157,"No comment",Netral,99.89%
1158,"Excelent.. love it",Positif,99.99%
1159,"Loved it",Positif,99.96%
1160,"So beautiful😍💓",Netral,81.40%
1161,"Iconic mosque",Netral,96.56%
1162,"Ok",Netral,98.15%
1163,"Best Mosque",Positif,99.82%
1164,"Good",Positif,97.62%
1165,"Fav",Netral,98.76%
1166,"Amazing",Positif,99.95%
1167,"Great mosque",Positif,99.95%
1168,"Adem boss... 😉",Positif,79.28%
1169,"Nice mosque",Positif,99.96%
1170,"Amazing place on the earth",Positif,99.97%
1171,"Ok",Netral,98.15%
1172,"Beautiful mosque",Positif,96.37%
1173,"Wonderful Mosque....",Positif,99.79%
1174,"Ok",Netral,98.15%
1175,"ok",Netral,98.15%
