No,Teks,Sentimen,Confidence
666,"Wonderful Mosque",Positif,99.84%
667,"Huge mosque in Semarang",Netral,99.96%
668,"Mantaff",Positif,99.98%
669,"Love it",Positif,99.97%
670,"Beautiful mosque",Positif,96.37%
671,"Good..",Positif,99.85%
672,"Great...",Positif,99.99%
673,"Keren",Positif,99.98%
674,"Beautiful mosque...",Positif,84.21%
675,"Amazing mosque",Positif,99.96%
676,"Amazing mosque....",Positif,99.98%
677,"What a Greaaat Mosqueee",Netral,81.70%
678,"Great centralmosque of Central Java",Positif,99.47%
679,"Ok",Netral,98.15%
680,"Love it",Positif,99.97%
681,"Awesome!",Positif,99.96%
682,"Ok",Netral,98.15%
683,"Love it",Positif,99.97%
684,"Loved it",Positif,99.96%
685,"Amazing places",Positif,99.97%
686,"Amazing!",Positif,99.96%
687,"Jooszs",Positif,83.12%
688,"the biggest mosque in town",Netral,68.67%
689,"Top...",Positif,99.98%
690,"Nice place with amazing consept.",Positif,99.99%
691,"Niceee",Positif,99.98%
692,"Beautiful place",Positif,99.95%
693,"Nice and peaceful place",Positif,99.98%
694,"The Greatest mosque",Positif,94.52%
695,"Ok",Netral,98.15%
696,"Beautiful place for prayer",Positif,99.97%
697,"Good",Positif,97.62%
698,"Segerrrr",Positif,99.70%
699,"Good !",Positif,99.58%
700,"Ok",Netral,98.15%
701,"Great mosque !",Positif,99.94%
702,"Goou",Positif,75.32%
703,"Beautiful mosque",Positif,96.37%
704,"love it",Positif,99.97%
705,"Beautiful mosque",Positif,96.37%
706,"wanna visit this place again and again :)",Netral,99.93%
707,"Beautiful mosque",Positif,96.37%
708,"Worth visiting tourist destination",Positif,47.85%
709,"Awesome mosque!",Positif,99.90%
710,"Good",Positif,97.62%
711,"Good place",Positif,99.95%
712,"Love it",Positif,99.97%
713,"Thebest",Netral,92.39%
714,"Beautiful mosque",Positif,96.37%
715,"ok",Netral,98.15%
716,"Ok",Netral,98.15%
717,"Biggest Masque in central java",Netral,97.85%
718,"Beautiful mosque",Positif,96.37%
719,"Good.",Positif,98.98%
720,"Goooooood",Positif,94.10%
721,"Beautiful mosque",Positif,96.37%
722,"I like",Positif,98.50%
723,"Good",Positif,97.62%
724,"Good",Positif,97.62%
725,"Nice mosque",Positif,99.96%
726,"Beautiful mosque",Positif,96.37%
727,"Beautiful mosque",Positif,96.37%
728,"The best mosque",Positif,99.93%
729,"wonderful",Positif,99.94%
730,"Some parts are damaged...",Negatif,99.98%
731,"Ok",Netral,98.15%
732,"Beautiful mosque",Positif,96.37%
733,"The great mosque..",Netral,61.18%
734,"I like it",Positif,99.96%
735,"yesss",Positif,97.88%
736,"Ok",Netral,98.15%
737,"I like",Positif,98.50%
738,"Ok",Netral,98.15%
739,"Ok",Netral,98.15%
740,"Ok",Netral,98.15%
741,"Very Nice place, recommended for this place",Positif,99.98%
742,"Ok",Netral,98.15%
743,"Ok",Netral,98.15%
744,"Good",Positif,97.62%
745,"Beatiful, great, grace",Positif,96.42%
746,"Good",Positif,97.62%
747,"Beautiful mosque",Positif,96.37%
748,"Beautiful mosque",Positif,96.37%
749,"Ok",Netral,98.15%
750,"Ok",Netral,98.15%
751,"Nice",Positif,99.92%
752,"Fantastic Mosque",Positif,70.30%
753,"Nice mosque",Positif,99.96%
754,"good mosque",Positif,99.82%
755,"Love and more to visit again",Positif,99.94%
756,"Nice",Positif,99.92%
757,"Iconic Place of Semarang",Netral,92.42%
758,"Love this place",Positif,99.95%
759,"Ok",Netral,98.15%
760,"Ok",Netral,98.15%
761,"Ok",Netral,98.15%
762,"Nice mosque",Positif,99.96%
763,"Ok",Netral,98.15%
764,"Ok",Netral,98.15%
765,"Adhem",Netral,98.85%
766,"Ok",Netral,98.15%
767,"Iloveit",Netral,72.84%
768,"Ok",Netral,98.15%
769,"Fav",Netral,98.76%
770,"Recomend",Positif,99.84%
771,"Sip",Netral,53.62%
772,"Ok",Netral,98.15%
773,"jooosss",Positif,99.01%
774,"Good",Positif,97.62%
775,"Ok",Netral,98.15%
776,"Ok",Netral,98.15%
777,"ok",Netral,98.15%
778,"Ok",Netral,98.15%
779,"Amazing",Positif,99.95%
780,"Good",Positif,97.62%
781,"Good",Positif,97.62%
782,"Great Mosque",Positif,99.95%
783,"Good",Positif,97.62%
784,"beautiful mosque",Positif,96.37%
785,"Good",Positif,97.62%
786,"elegant",Positif,71.12%
787,"Very nice mousque",Positif,99.74%
788,"Landmark of Semarang City",Netral,80.25%
789,"Joss",Positif,99.92%
790,"Love",Positif,53.90%
791,"Bring your sunglasses!",Positif,99.98%
792,"Nice mosque",Positif,99.96%
793,"Ok",Netral,98.15%
794,"Nice mosque",Positif,99.96%
795,"Nice mosque",Positif,99.96%
796,"nice place...",Positif,99.98%
797,"Good",Positif,97.62%
798,"Top",Positif,99.96%
799,"Good",Positif,97.62%
800,"amazing",Positif,99.95%
801,"Glad to pray here!",Positif,99.92%
802,"Ok",Netral,98.15%
803,"Ok",Netral,98.15%
804,"Ok",Netral,98.15%
805,"Great Mosque",Positif,99.95%
806,"Nice mosque",Positif,99.96%
807,"Ok",Netral,98.15%
808,"Ok",Netral,98.15%
809,"Top",Positif,99.96%
810,"Sippp",Positif,97.51%
811,"Top",Positif,99.96%
812,"ok",Netral,98.15%
813,"god👍👍👍",Netral,74.44%
814,"Good",Positif,97.62%
815,"ok",Netral,98.15%
816,"Ok",Netral,98.15%
817,"Ok",Netral,98.15%
818,"Awesome",Positif,99.95%
819,"Great mosque",Positif,99.95%
820,"Wonderful",Positif,99.94%
821,"Legend Mosque in Semarang",Netral,99.85%
822,"Sip",Netral,53.62%
823,"Ok",Netral,98.15%
824,"Weew",Netral,65.29%
825,"The wonderful on the little of mecca",Netral,88.93%
826,"Grandeur",Netral,81.70%
827,"Nice Mosque",Positif,99.96%
828,"what a beautiful mosque",Positif,99.00%
829,"Wonderful",Positif,99.94%
830,"like it",Positif,95.38%
831,"Awesome place to pray",Positif,99.97%
832,"Amazing",Positif,99.95%
833,"🙏🙏👍",Netral,74.44%
834,"Beautiful",Positif,99.76%
835,"Best place to pray",Positif,99.92%
836,"Fantastic",Positif,99.97%
837,"Nice mosque",Positif,99.96%
838,"Ok",Netral,98.15%
839,"Good",Positif,97.62%
840,"Good",Positif,97.62%
841,"Amazing",Positif,99.95%
842,"Awesome",Positif,99.95%
843,"Good for healing",Positif,99.88%
844,"Good",Positif,97.62%
845,"When I feel lonesome",Negatif,58.35%
846,"Nice",Positif,99.92%
847,"Best",Positif,99.96%
848,"Good",Positif,97.62%
849,"Amazing",Positif,99.95%
850,"Good",Positif,97.62%
851,"Excellent",Positif,99.94%
852,"Amazing",Positif,99.95%
853,"Good",Positif,97.62%
854,"Best",Positif,99.96%
855,"Great",Positif,99.97%
856,"Great Convention Place",Positif,99.90%
857,"Nice",Positif,99.92%
858,"Top",Positif,99.96%
859,"Amazing",Positif,99.95%
860,"Nice place for prayers",Positif,99.98%
861,"Nice",Positif,99.92%
862,"Beautiful",Positif,99.76%
863,"Beautiful",Positif,99.76%
864,"Good",Positif,97.62%
865,"Good",Positif,97.62%
866,"Nice",Positif,99.92%
867,"Good",Positif,97.62%
868,"The most beautiful place",Positif,99.91%
869,"Good",Positif,97.62%
870,"Good mosque",Positif,99.82%
871,"Nice",Positif,99.92%
872,"Great",Positif,99.97%
873,"nice",Positif,99.92%
874,"Beautiful",Positif,99.76%
875,"awesome mosque",Positif,98.18%
876,"Nice",Positif,99.92%
877,"Awesome",Positif,99.95%
878,"Nice",Positif,99.92%
879,"nice",Positif,99.92%
880,"Best",Positif,99.96%
881,"beautiful",Positif,99.76%
882,"Good",Positif,97.62%
883,"Amazing",Positif,99.95%
884,"Wonderful",Positif,99.94%
885,"Great",Positif,99.97%
886,"good",Positif,97.62%
887,"Nice",Positif,99.92%
888,"Good",Positif,97.62%
889,"Good",Positif,97.62%
890,"good",Positif,97.62%
891,"Impress",Positif,99.94%
892,"Outstanding mosque",Positif,99.75%
893,"Beautiful Mosque",Positif,96.37%
894,"good",Positif,97.62%
895,"awesome",Positif,99.95%
896,"Nice",Positif,99.92%
897,"Cool",Positif,99.39%
898,"Wonderful",Positif,99.94%
899,"Amazing",Positif,99.95%
900,"Love",Positif,53.90%
901,"Amazing",Positif,99.95%
902,"Great",Positif,99.97%
903,"nice place",Positif,99.97%
904,"amazing",Positif,99.95%
905,"Nice",Positif,99.92%
906,"big",Netral,86.82%
907,"Wonderful",Positif,99.94%
908,"Great mosque",Positif,99.95%
909,"Amazing",Positif,99.95%
910,"Top",Positif,99.96%
911,"Amazing",Positif,99.95%
912,"Good",Positif,97.62%
913,"Nice place to pray",Positif,99.97%
914,"Beautiful architecture",Positif,99.89%
915,"Amazing",Positif,99.95%
916,"Good",Positif,97.62%
917,"Holy",Netral,79.76%
918,"Amazing",Positif,99.95%
919,"Nice",Positif,99.92%
920,"Amazing",Positif,99.95%
921,"Good",Positif,97.62%
922,"Nice",Positif,99.92%
923,"Sip",Netral,53.62%
924,"amazing",Positif,99.95%
925,"Amazing",Positif,99.95%
926,"Great Place for Pray",Positif,99.98%
927,"Nice",Positif,99.92%
928,"Nice",Positif,99.92%
929,"Good",Positif,97.62%
930,"Good",Positif,97.62%
931,"Love",Positif,53.90%
932,"🙏🙏",Netral,74.44%
933,"Love",Positif,53.90%
934,"Good",Positif,97.62%
935,"Nice",Positif,99.92%
936,"Good",Positif,97.62%
937,"Good",Positif,97.62%
938,"Great",Positif,99.97%
939,"loved",Positif,99.47%
940,"Good",Positif,97.62%
941,"Good",Positif,97.62%
942,"Remember",Netral,99.74%
943,"Nice",Positif,99.92%
944,"nice",Positif,99.92%
945,"Good",Positif,97.62%
946,"Good",Positif,97.62%
947,"Good",Positif,97.62%
948,"Great",Positif,99.97%
949,"Amazing",Positif,99.95%
950,"Good",Positif,97.62%
951,"Awesome",Positif,99.95%
952,"Nice",Positif,99.92%
953,"Beautiful",Positif,99.76%
954,"Good",Positif,97.62%
955,"Architecture is good",Positif,99.98%
956,"Nice",Positif,99.92%
957,"Beautiful 😍",Positif,97.53%
958,"Nice",Positif,99.92%
959,"My😍😍",Netral,74.44%
960,"Awesome ^_^",Positif,95.78%
961,"It was a great place.",Positif,99.99%
962,"Great",Positif,99.97%
963,"Good",Positif,97.62%
964,"wonderfullllllll...",Positif,99.36%
965,"Good",Positif,97.62%
966,"Wonderful",Positif,99.94%
967,"Kereeeeen buaaaangeeett boo",Positif,99.98%
968,"👍👍",Netral,74.44%
969,"Amazing",Positif,99.95%
970,"Good",Positif,97.62%
971,"Like",Netral,75.50%
972,"👍👍",Netral,74.44%
973,"Beatifull",Netral,85.85%
974,"central Java Grand Mosque",Netral,50.95%
975,"Great view",Positif,99.96%
976,"Landmark central java",Netral,98.96%
977,"Comfortable to be there",Positif,99.83%
978,"amezing mosque",Netral,99.15%
979,"An architectural wonder",Netral,91.17%
980,"Amazing",Positif,99.95%
981,"Good banget",Positif,99.95%
982,"Fresh and large",Netral,98.83%
983,"Good view...",Positif,99.98%
984,"Nice place to worship",Positif,99.97%
985,"No complaints",Positif,98.82%
986,"Big mosque",Netral,92.24%
987,"Okay",Netral,98.31%
988,"Good design...",Positif,99.98%
989,"Wide and charismatic",Positif,97.81%
990,"huge mosque",Netral,99.04%
991,"👍👍👍👍👍",Netral,74.44%
992,"Man",Netral,99.68%
993,"👍👍👍",Netral,74.44%
994,"Mosque",Netral,98.83%
995,"Mosque",Netral,98.83%
996,"benar2 great...",Positif,99.98%
997,"Well",Netral,97.22%
998,"Islamic",Netral,98.69%
999,"Clean",Positif,86.85%
1000,"Like",Netral,75.50%
1001,"good,,,",Positif,99.94%
1002,"Wow.,.wonderfull place",Positif,99.99%
1003,"Visit",Netral,95.95%
1004,"Ok",Netral,98.15%
1005,"Historic place",Netral,99.86%
1006,"Bit smelly",Netral,94.77%
1007,"The Great Mosque",Positif,98.64%
1008,"Religious",Netral,74.34%
1009,"mosque",Netral,98.83%
1010,"Like",Netral,75.50%
1011,"recommend place to visit",Positif,99.47%
1012,"Loving God 🙏🏼",Positif,95.10%
1013,"Very nice in the place",Positif,99.98%
1014,"I like masjid",Positif,99.94%
1015,"Islam is the best",Positif,99.95%
1016,"Mayan",Positif,99.95%
1017,"Amaze",Positif,60.69%
1018,"Hits",Netral,97.76%
1019,"Like",Netral,75.50%
1020,"New history or no history",Netral,99.85%
1021,"Traveling",Netral,99.38%
1022,"Perfect :v",Netral,96.88%
1023,"Landmark religious.",Netral,99.90%
1024,"Very nice place",Positif,99.98%
1025,"So beautiful place",Positif,99.96%
1026,"So Majestic",Netral,92.19%
1027,"Like",Netral,75.50%
1028,"transit",Netral,99.78%
1029,"So amazing place 😍😍😍",Positif,99.96%
1030,"Great place, teduh",Positif,98.94%
1031,"Amazing design,",Positif,99.98%
1032,"A religious journey",Netral,58.59%
1033,"Its a mosque",Netral,91.42%
1034,"wow",Positif,99.93%
1035,"Beautifull place 😍",Positif,59.15%
1036,"Unforgettable journey",Negatif,93.37%
1037,"Very Awesome....",Positif,99.98%
1038,"Recommended 😍",Positif,99.59%
1039,"Chun laundry",Netral,96.91%
1040,"Big and cozy",Positif,99.44%
1041,"Overall good",Positif,99.86%
1042,"Beautiful mosqu",Positif,87.40%
1043,"a beautifull place....",Positif,99.97%
1044,"Great place!",Positif,99.98%
1045,"Comfortable place",Positif,98.15%
1046,"Great Masque",Positif,99.94%
1047,"So beautiful",Positif,99.92%
1048,"Nice place to visit",Positif,99.98%
1049,"Beutifull amazing",Positif,99.97%
1050,"Nice and peace",Positif,99.91%
1051,"So beautiful",Positif,99.92%
1052,"I love this place 😍",Positif,99.97%
1053,"So beautiful",Positif,99.92%
1054,"Beautiful place",Positif,99.95%
1055,"Just love it...",Positif,99.98%
1056,"very very good",Positif,99.98%
1057,"Best destiny",Positif,99.91%
1058,"Good looking",Positif,99.64%
1059,"Very good place",Positif,99.98%
1060,"wow is nice",Positif,99.99%
1061,"Comfortable place",Positif,98.15%
1062,"😍😍😍😍😍😍😍😍😍",Netral,74.44%
1063,"Good happy",Positif,99.88%
1064,"i'm amazed..",Negatif,97.90%
1065,"Great place to be...",Positif,99.99%
1066,"Amazing place 💯💯",Positif,99.93%
1067,"Favorite place",Netral,81.02%
1068,"Grand Mosque",Netral,93.06%
1069,"Recommended",Positif,99.73%
1070,"What a beautiful place",Positif,99.97%
1071,"Great Mosqu",Positif,99.99%
1072,"Nice destination",Positif,99.99%
1073,"Well known",Netral,97.94%
1074,"Amazing place😍",Positif,99.90%
1075,"Amazing wonderfull",Positif,99.95%
1076,"Beautiful place",Positif,99.95%
1077,"Beautiful place",Positif,99.95%
1078,"Good nice quainted",Positif,99.98%
1079,"Great placeee",Positif,99.98%
1080,"Its awesome",Positif,99.97%
1081,"Amazing place",Positif,99.97%
1082,"Beautiful place.",Positif,99.72%
1083,"Nabawi wanna be",Netral,99.89%
1084,"Iconic place...",Netral,99.91%
1085,"Beautiful place",Positif,99.95%
1086,"nice place",Positif,99.97%
1087,"Inner Peace",Positif,99.63%
1088,"A good place",Positif,99.97%
1089,"Islamic religious",Netral,50.19%
1090,"Great place",Positif,99.97%
1091,"Nice place....",Positif,99.98%
1092,"This place is huge",Negatif,99.86%
1093,"Sho beautiful",Positif,99.75%
1094,"Beautiful place",Positif,99.95%
1095,"Great place",Positif,99.97%
1096,"Experience this place .",Netral,95.95%
1097,"Nice place",Positif,99.97%
1098,"Miss this place!",Negatif,97.84%
1099,"Amazing place",Positif,99.97%
1100,"Wonderful place",Positif,99.96%
1101,"Cozy place",Netral,81.54%
1102,"Beautiful place",Positif,99.95%
1103,"Awesome ....",Positif,99.96%
1104,"nice place😍",Positif,99.62%
1105,"Good place 👍",Positif,99.84%
1106,"Amazing place",Positif,99.97%
1107,"Wonderful place",Positif,99.96%
1108,"Is the best",Positif,99.94%
1109,"Awesome....",Positif,99.96%
1110,"Amazing place",Positif,99.97%
1111,"Wonderful place",Positif,99.96%
1112,"good place",Positif,99.95%
1113,"Beautiful..",Positif,99.70%
1114,"Good place",Positif,99.95%
1115,"Good place",Positif,99.95%
1116,"Good of good",Positif,99.98%
1117,"Wonderfull",Positif,99.88%
1118,"Monumental",Positif,99.95%
1119,"Wonderfull",Positif,99.88%
1120,"Nice place",Positif,99.97%
1121,"Amazing place",Positif,99.97%
1122,"Good Place",Positif,99.95%
1123,"Nice place",Positif,99.97%
1124,"good place",Positif,99.95%
1125,"Nice place",Positif,99.97%
1126,"Good place",Positif,99.95%
1127,"Nice place",Positif,99.97%
1128,"Nice place",Positif,99.97%
1129,"Perfect place",Positif,99.60%
1130,"Holy place",Netral,81.34%
1131,"Nice place",Positif,99.97%
1132,"Nice place",Positif,99.97%
1133,"Good place",Positif,99.95%
1134,"amazing...",Positif,99.97%
1135,"No comments",Netral,99.87%
1136,"Nice Place",Positif,99.97%
1137,"Nice place",Positif,99.97%
1138,"Good place",Positif,99.95%
1139,"Dolan dolan",Netral,99.86%
1140,"Beautifull",Positif,96.40%
1141,"Great place",Positif,99.97%
1142,"Religious place",Positif,58.43%
1143,"Speachless",Negatif,99.96%
1144,"well played",Positif,97.61%
1145,"Interesting",Positif,68.94%
1146,"Beautifull",Positif,96.40%
1147,"Beautifull",Positif,96.40%
1148,"No comment",Netral,99.89%
1149,"Grand place",Netral,83.12%
1150,"😍 💝💝 💝💝 💝🍡🍡💝🍡🍡💝 💝🍡🍡🍡🍡🍡💝 💝 Miss you! 💝 💝🍡🍡🍡💝 💝🍡💝 💝",Positif,97.29%
1151,"Adeeeeemmm",Netral,98.18%
1152,"Nice to visit. But today the mosque was closed. The Menara however was luckily open: beautiful view all over the city.",Netral,98.31%
1153,"Visit during evening. Was beautiful during sunset.",Netral,98.10%
1154,"healing",Netral,96.99%
1155,"The grand mosque of Central Java has a unique architecture, it is so exciting to be here for Eid-al Fitr",Netral,99.77%
1156,"Sebagai warga lokal yang sering ke MAJT & menyaksikan perkembangan infrastruktur disana dari tahun ke tahun, rasanya akhir-akhir ini memang MAJT perlu adanya peremajaan infrastruktur sih. Beberapa hal yang paling kentara itu kurangnya penunjuk arah menuju ruang sholat utama ataupun toilet, selain itu juga ada beberapa titik yang kelihatan kumuh, salah satunya adalah payung hidrolik yang semakin kesini kelihatan semakin kusam dan ada beberapa bagian yang rusak. Terlepas dari kekurangan tersebut, MAJT bagi warga sekitarnya tetaplah menjadi tempat yang tidak hanya digunakan untuk beribadah saja, tapi juga bisa jadi tempat olahraga, outbond, latihan baris berbaris oleh anak paskibraka, hajatan pernikahan, sampai manasik haji bagi anak-anak TK. Area luar masjid yang luas dan gedung convention hall memungkinkan segala kegiatan tadi terlaksana dengan nyaman dan lancar.",Negatif,57.72%
1157,"Pertama kali ke MAJT sayangnya sampai sana sudah malam jadi tidak bisa melihat detail bangunannya dengan jelas. Meskipun malam, vibes nya tetap terasa. Lampu lampu membuat masjid terhilat megah dan cantik. Suasananya cukup tenang dan adem. Walaupun kunjungan pertama cuma sebentar dan di malam hari tetapi tetap menjadi pengalaman yang berkesan",Netral,89.50%
1158,"Saya berkunjung ke Masjid Agung Jawa Tengah hari Kamis, puasa Ramadan pertama, untuk sholat Dzuhur. Tempatnya luas banget, bersih, dan adem jadi bikin ibadah lebih khusyuk. Area pelatarannya megah dan nyaman buat istirahat sejenak. Suasananya tenang meski lumayan ramai. Cocok banget buat yang mau cari tempat ibadah yang nyaman sekaligus spot foto yang keren.",Positif,99.95%
1159,"Kurang menarik. Lantainya klo siang panas jd kasihan klo ada jamaah yg sepuh2 jalannya ga bisa cpt. Klo hujan lantai jd basah dan ga kelihatan krn warna lantainya agak gelap jd rawan buat yg kurang bisa melihat dgn baik utk terpeleset. Terutama anak2 dan yg sepuh2. Kelihatan suram dan kumuh. Harusnya ada petugas yg gercep utk membersihkan genangan2 yg ada. Karpet hanya di pasang utk jamaah laki2 aja. Yg wanita cuma lantai. Mukena jg tdk di tata dgn rapi. Harusnya ada petugas yg mengarahkan para jamaah agar sholatnya tdk renggang shofnya dan tdk muter2 jalannya. Payung2 nya jg kelihatan sdh kusam dan kotor. Mgk hrs di bersihkan biar kelihatan kinclong.",Negatif,99.76%
1160,"Masjid Agung Jawa Tengah, tempat yang wajib dikunjungi jika datang ke semerang, tempatnya sangat nyaman pagi maupun malam hari, selain masjid juga ada musium di dalamnya dengan membayar Rp.10000 kita bisa masuk dan menemukak banyak sekali sejarah terutama sejarah islam di bumi jawa tengah.",Netral,92.14%
1161,"Simbol Keagungan di Jantung Semarang ​Di tengah hiruk-pikuk Kota Semarang, berdiri sebuah mahakarya arsitektur yang kini menjadi ikon kebanggaan provinsi Jawa Tengah. Masjid Agung Jawa Tengah (MAJT), yang terletak di Jalan Gajah Raya, bukan sekadar tempat sujud, melainkan sebuah monumen peradaban yang mulai diukir sejak tahun 2001 dan diresmikan oleh Presiden Susilo Bambang Yudhoyono pada tahun 2006. ​Saat melangkahkan kaki memasuki kompleks ini, mata kita akan dimanjakan oleh harmoni akulturasi tiga budaya yang menyatu dengan indah. Atap limas utamanya menyuarakan kearifan lokal arsitektur Jawa, sementara kubah besar dan keempat minaretnya membawa nuansa spiritual yang kental dari Timur Tengah. Uniknya, nuansa Romawi turut hadir melalui 25 pilar kolosal di pelataran masjid yang membentuk lengkungan megah layaknya Colosseum, menyimbolkan 25 Nabi dan Rasul yang menjadi teladan umat. ​Atmosfer spiritual semakin terasa magis ketika kita berdiri di pelataran utamanya. Di sana, enam payung raksasa hidrolik berdiri gagah. Ketika payung-payung ini mengembang—biasanya saat Shalat Jumat atau Idul Fitri—suasananya seketika berubah, membawa imajinasi kita seolah sedang berada di Masjid Nabawi, Madinah. Keteduhan payung ini menaungi ribuan jemaah, menciptakan rasa khusyuk yang mendalam. ​Tak jauh dari bangunan utama, Menara Asmaul Husna menjulang setinggi 99 meter, sebuah angka yang melambangkan keagungan nama-nama Allah. Bagi mereka yang ingin merenungi kebesaran Tuhan melalui bentang alam, lantai 19 menara ini menawarkan panorama Kota Semarang dan laut lepas yang memukau. Di dalam kompleks masjid ini pula tersimpan jejak sejarah dan seni, mulai dari Museum Perkembangan Islam, Al-Qur'an raksasa tulisan tangan, hingga bedug raksasa ""Manggaladana"". ​Kini, Masjid Agung Jawa Tengah telah bertransformasi lebih dari sekadar rumah ibadah. Ia adalah pusat pendidikan, wadah aktivitas sosial, dan destinasi wisata religi yang ramah bagi siapa saja. MAJT adalah bukti nyata bagaimana iman, budaya, dan seni dapat bersatu dalam sebuah bangunan yang menggetarkan hati.",Positif,99.95%
1162,"Masjid Agung Jawa Tengah (MAJT) adalah salah satu ikon religi Kota Semarang. Masjid ini diresmikan pada tahun 2006 dan memiliki arsitektur megah yang memadukan gaya Islam, Jawa, dan Romawi. Ciri khasnya adalah payung raksasa di halaman serta menara Asmaul Husna setinggi 99 meter. Selain tempat ibadah, MAJT juga menjadi tujuan wisata religi dan edukasi.",Netral,99.80%
1163,"Menurut saya, Masjid Agung Jawa Tengah memberikan kesan yang sangat megah, nyaman, dan menenangkan. Begitu masuk area masjid, suasananya terasa luas dan tertata rapi, membuat siapa pun langsung merasa adem dan khusyuk.Fasilitasnya juga lengkap, mulai dari tempat wudhu yang bersih, toilet terawat, hingga area istirahat. Saat naik ke menara Asmaul Husna, pemandangan kota Semarang dari atas terasa sangat indah dan memberi pengalaman yang berkesan. Secara keseluruhan, Masjid Agung Jawa Tengah bukan hanya tempat ibadah, tapi juga tempat wisata religi dan refleksi diri yang sangat layak dikunjungi. Cocok untuk sholat, belajar, sekaligus menikmati keindahan arsitektur dan suasana yang menenangkan.",Positif,99.98%
1164,"Beberapa kali ke Semarang tapi baru pertama kali masuk ke Masjid Agung Jawa Tengah ini. Kompleks masjidnya ternyata luas sekali. Walaupun termasuk masjid baru tapi bangunannya tetap mempertahankan arsitektur khas Jawa. Selain itu juga terdapat museum untuk melihat perkembangan Islam di Jawa Tengah.",Netral,99.57%
1165,"Masjid kebanggan masyarakat Kota Semarang dan Jawa Tengah. Masjid dengan berbagai fasilitas lengkap mulai dari penunjang wisata religi, edukasi, hingga sebagai tempat jalannya ekonomi ummat. Terima kasih MAJT beserta jajaran pengurus harian yang telah memberikan kesempataj bagi saya untuk melakukan penelitian. Sungguh sangat berkesan!",Positif,99.99%
1166,"Sebagai Masjid Agung, sepertinya pengelolaannya kurang maksimal. 1. Tidak ada petunjuk jelas dari awal masuk, yang mengarahkan ke dalam masjid. 2. Kurangnya petunjuk, sehingga banyak jamaah yang melalui halaman masjid beralas keramik panas saat siang hari. Dan tidak ada upaya meminimalisirnya seperti pemasangan karpet atau alas kecil agar tidak panas. Dua point itu yg saya pribadi rasakan, mungkin bisa ditingkatkan. Sedangkan untuk ibadah, cukup nyaman. Tempat wudhu bersih, tidak bau. Dalam masjid juga bersih. Mohon para jamaah bersama-sama menjaga kebersihan masjid.",Negatif,99.97%
1167,"Parkiran Luas,sejuk,masjid nya rapi n Bagus, hanya perlu peremajaan di tempat wudhu dan Toilet.",Netral,97.24%
1168,"Tempat yg selalu indah dan damai untuk dikunjungi MasyaAllah...kalau mau lihat semarang dr atas,bisa masuk dan naik ke menara. Didalamnya jg byk historical story nya..tiket masuk menara cukup murah. Mau i'tikaf atau sekedar rehat pun nyaman insyaallah...",Positif,99.92%
1169,"Masjid Agung yg menawan, dikelola dg baik. Toilet dan tempat wudhu ada di samping bawah, cukup bersih. Banyak jajanan pinggir jalan di luar kawasan.",Positif,99.80%
1170,"Masjidnya megah. Tempatnya sangat luas, area parkir juga sangat luas. Fasilitas sangat lengkap, ada museum, menara pandang, ballroom/hall, bahkan pusat oleh2 juga ada. Saya pertama kali mengunjungi masjid ini sejak tahun 2006 pas awal2 dibuka. Sampai sekarang tak terhitung berapa kali mengunjungi masjid ini.",Positif,84.49%
1171,"Sangat menyenangkan bisa berkunjung ke masjid ini bersama temen-temen Koordinasi Dakwah Islam (KODI) Jakarta Walaupun mampir sholat subuh Tapi suasana nya pagi luar biasa Sangat sepi",Netral,99.78%
1172,"Mesjidnya luas dan nyaman. Toilet dan tempat wudhu bersih. Karpet empuk dan wangi. Hanya saja tidak ada petunjuk jalan masuk, jadi saya sempat bingung keliling mencari pintu masuknya. Alhamdulillah ada jamaah lain warga lokal yang mengajak saya masuk lewat pintu samping. Mungkin bisa jadi pertimbangan pengelola. Ada menara yang bisa dinaiki dengan tarif hanya 5k, tetapi waktu saya kesana belum ada petugasnya",Netral,99.92%
1173,"Sepertinya ini adalah masjid terbesar di kota Semarang. Datang kesini bersama rombongan hanya sekedar mampir sambil menunggu Maghrib. Dilihat dari fasilitas, masjid ini layak disebut sebagai tempat wisata ibadah. Berbagai fasilitas mulai dari tempat parkir yang cukup banyak dan luas, area kuliner, area souvenir menandakan bahwa masjid ini tidak hanya digunakan untuk beribadah namun juga sebagai tempat wisata, terbukti ada yang joging masuk area sekitar masjid. Masjid ini memiliki keunikan sendiri yakin terdapat beberapa payung raksasa yang nantinya bisa menutup dan membuka. Namun nampaknya hanya disiang hari panas terik saja, karena waktu kesana jam 17.00 payung tersebut sudah menutup. Sayang sekali dan tidak beruntung namun apa boleh buat.",Positif,68.36%
1174,"Kesini karena ada acara jurusan bedah arsitektur MAJT. Baguss banget secara desain dan ternyata se wah itu. Jalan disini juga capek bgt karena seluas itu😭. Puji Tuhan berkesempatan masuk ke menara MAJT sampai lantai 18/19 bisa liat pemandangan pakai teropong dan liat restoran putarnyaaa. Ak orang semarang asli baru kali ini bener2 menjelajah MAJT dan ternyata se waw dan se komplit ituuu. Oh ya di menara itu ada museum di lantai 2 & 3 terbuka untuk umum baguss. Semoga bisa berkembang lebih baik lagi kedepannya 🙏",Positif,99.98%
